ExitTime,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,Tag,Duration,equity
2021-06-16 12:30:00,68,47,52,4249.10009765625,4237.830078125,-766.361328125,-0.0026523309106006865,2021-06-15 14:30:00,,0 days 22:00:00,100000.0
2021-06-16 12:30:00,70,42,52,4255.27978515625,4237.830078125,-1221.4794921875,-0.004100719085997628,2021-06-15 09:30:00,,1 days 03:00:00,98778.5205078125
2021-07-12 09:30:00,69,72,168,4215.06982421875,4376.647705078125,11148.873779296875,0.03833338179381718,2021-06-21 11:30:00,,20 days 22:00:00,109927.39428710938
2021-07-19 10:30:00,69,128,204,4308.2001953125,4252.47021484375,-3845.36865234375,-0.012935791732563096,2021-07-01 11:30:00,,17 days 23:00:00,106082.02563476562
2021-07-19 10:30:00,70,113,204,4297.16015625,4252.47021484375,-3128.2958984375,-0.01039987800809583,2021-06-29 10:30:00,,20 days 00:00:00,102953.72973632812
2021-07-30 14:30:00,69,261,271,4423.81005859375,4393.3701171875,-2100.35595703125,-0.00688093317820393,2021-07-29 11:30:00,,1 days 03:00:00,100853.37377929688
2021-08-18 15:30:00,66,329,363,4446.080078125,4411.98828125,-2250.05859375,-0.007667832399765762,2021-08-12 09:30:00,,6 days 06:00:00,98603.31518554688
2021-08-19 10:30:00,66,295,365,4416.18017578125,4398.4599609375,-1169.5341796875,-0.0040125660952262665,2021-08-05 10:30:00,,14 days 00:00:00,97433.78100585938
2021-08-19 10:30:00,68,284,365,4412.56982421875,4398.4599609375,-959.470703125,-0.0031976521263883395,2021-08-03 13:30:00,,15 days 21:00:00,96474.31030273438
2021-09-10 15:30:00,64,410,475,4511.009765625,4463.68212890625,-3028.96875,-0.01049158374238035,2021-08-27 13:30:00,,14 days 02:00:00,93445.34155273438
2021-09-20 10:30:00,64,372,512,4433.169921875,4364.75,-4378.875,-0.01543363396412789,2021-08-20 10:30:00,,31 days 00:00:00,89066.46655273438
2021-10-05 10:30:00,-61,584,589,4290.0,4351.7001953125,-3763.7119140625,-0.014382329909673697,2021-10-04 12:30:00,,0 days 22:00:00,85302.75463867188
2021-10-06 10:30:00,58,589,596,4351.7001953125,4320.68994140625,-1798.5947265625,-0.007126008804479,2021-10-05 10:30:00,,1 days 00:00:00,83504.15991210938
2021-11-03 14:30:00,54,691,740,4571.3798828125,4646.30224609375,4045.8076171875,0.016389441525729076,2021-10-25 14:30:00,,9 days 00:00:00,87549.96752929688
2021-11-30 13:30:00,60,741,861,4654.990234375,4577.91015625,-4624.8046875,-0.016558590726098332,2021-11-03 15:30:00,,26 days 22:00:00,82925.16284179688
2021-11-30 13:30:00,54,694,861,4595.64013671875,4577.91015625,-957.4189453125,-0.003858000178710519,2021-10-26 10:30:00,,35 days 03:00:00,81967.74389648438
2021-11-30 13:30:00,55,659,861,4510.64013671875,4577.91015625,3699.85107421875,0.014913630325691596,2021-10-19 10:30:00,,42 days 03:00:00,85667.59497070312
2021-12-01 13:30:00,54,866,868,4648.97021484375,4609.0498046875,-2155.7021484375,-0.008586936097974451,2021-12-01 11:30:00,,0 days 02:00:00,83511.89282226562
2021-12-02 12:30:00,-54,870,874,4544.81982421875,4587.080078125,-2282.0537109375,-0.009298554297147321,2021-12-01 15:30:00,,0 days 21:00:00,81229.83911132812
2021-12-06 10:30:00,-53,881,886,4527.8798828125,4585.85986328125,-3072.93896484375,-0.012805105693911578,2021-12-03 12:30:00,,2 days 22:00:00,78156.90014648438
2021-12-17 10:30:00,51,940,949,4698.75,4613.56982421875,-4344.18896484375,-0.01812826300212822,2021-12-15 15:30:00,,1 days 19:00:00,73812.71118164062
2021-12-17 10:30:00,50,886,949,4585.85986328125,4613.56982421875,1385.498046875,0.006042478785575733,2021-12-06 10:30:00,,11 days 00:00:00,75198.20922851562
2022-01-06 09:30:00,49,1026,1039,4813.25,4693.39013671875,-5873.13330078125,-0.024902064775619404,2022-01-04 10:30:00,,1 days 23:00:00,69325.07592773438
2022-01-06 09:30:00,48,965,1039,4629.72998046875,4693.39013671875,3055.6875,0.013750295701598247,2021-12-21 12:30:00,,15 days 21:00:00,72380.76342773438
2022-01-21 09:30:00,-45,1079,1109,4690.2099609375,4455.463134765625,10563.607177734375,0.050050387536372254,2022-01-13 14:30:00,,7 days 19:00:00,82944.37060546875
2022-01-28 11:30:00,-57,1142,1146,4322.419921875,4363.66015625,-2350.693359375,-0.009541005992104168,2022-01-27 14:30:00,,0 days 21:00:00,80593.67724609375
2022-02-11 13:30:00,53,1199,1218,4514.43994140625,4468.990234375,-2408.83447265625,-0.010067629123689747,2022-02-08 15:30:00,,2 days 22:00:00,78184.8427734375
2022-02-23 13:30:00,-52,1245,1267,4423.43994140625,4251.074951171875,8962.9794921875,0.03896627794602281,2022-02-17 12:30:00,,6 days 01:00:00,87147.822265625
2022-03-02 10:30:00,-60,1294,1299,4311.31982421875,4350.93994140625,-2377.20703125,-0.009189788464528892,2022-03-01 12:30:00,,0 days 22:00:00,84770.615234375
2022-03-04 10:30:00,57,1300,1313,4374.72021484375,4303.31005859375,-4070.37890625,-0.01632336532235823,2022-03-02 11:30:00,,1 days 23:00:00,80700.236328125
2022-03-14 10:30:00,-57,1354,1355,4202.75,4230.93994140625,-1606.82666015625,-0.006707498996193051,2022-03-14 09:30:00,,0 days 01:00:00,79093.40966796875
