ExitTime,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,Tag,Duration,equity
2021-12-01 14:30:00,28,1041,1044,16414.55078125,16187.2998046875,-6363.02734375,-0.013844483445875633,2021-12-01 11:30:00,,0 days 03:00:00,222012.7216796875
2021-12-07 10:30:00,-28,1045,1068,15979.3935546875,16239.5361328125,-7283.9921875,-0.016279878033837347,2021-12-01 15:30:00,,5 days 19:00:00,214728.7294921875
2021-12-16 12:30:00,27,1115,1119,16205.734375,15950.1328125,-6901.2421875,-0.01577229125107138,2021-12-15 15:30:00,,0 days 21:00:00,207827.4873046875
2021-12-17 11:30:00,-27,1123,1125,15724.689453125,15925.3759765625,-5418.5361328125,-0.012762511083970418,2021-12-17 09:30:00,,0 days 02:00:00,202408.951171875
2022-01-04 10:30:00,25,1199,1201,16489.572265625,16322.404296875,-4179.19921875,-0.01013779897120115,2022-01-03 15:30:00,,0 days 19:00:00,198229.751953125
2022-01-24 09:30:00,-25,1202,1291,16196.779296875,14159.6767578125,50927.5634765625,0.12577207491217335,2022-01-04 11:30:00,,19 days 22:00:00,249157.3154296875
2022-01-28 11:30:00,-36,1317,1321,14027.00390625,14233.3173828125,-7427.28515625,-0.014708306773235647,2022-01-27 14:30:00,,0 days 21:00:00,241730.0302734375
2022-02-11 13:30:00,33,1372,1393,14699.2890625,14494.1806640625,-6768.5771484375,-0.013953627115256939,2022-02-08 13:30:00,,3 days 00:00:00,234961.453125
2022-02-23 13:30:00,-33,1420,1442,14351.541015625,13675.0673828125,22323.6298828125,0.04713595787908775,2022-02-17 12:30:00,,6 days 01:00:00,257285.0830078125
2022-03-02 11:30:00,-37,1470,1475,13983.185546875,14177.443359375,-7187.5390625,-0.013892243069277832,2022-03-01 13:30:00,,0 days 22:00:00,250097.5439453125
2022-03-03 12:30:00,36,1477,1483,14249.8828125,14062.8037109375,-6734.84765625,-0.013128465968744285,2022-03-02 13:30:00,,0 days 23:00:00,243362.6962890625
2022-03-16 09:30:00,-37,1525,1543,13424.1015625,13670.6279296875,-9121.4755859375,-0.01836445933008779,2022-03-11 12:30:00,,4 days 21:00:00,234241.220703125
2022-03-23 13:30:00,32,1573,1582,14673.0400390625,14504.7255859375,-5386.0625,-0.011471000738559556,2022-03-22 11:30:00,,1 days 02:00:00,228855.158203125
2022-03-29 09:30:00,31,1604,1606,14864.3193359375,15176.470703125,9676.6923828125,0.021000044477839763,2022-03-28 14:30:00,,0 days 19:00:00,238531.8505859375
2022-04-05 12:30:00,33,1636,1644,15092.4462890625,14851.7626953125,-7942.55859375,-0.015947288407739624,2022-04-04 11:30:00,,1 days 01:00:00,230589.2919921875
2022-04-05 12:30:00,31,1601,1644,14829.2001953125,14851.7626953125,699.4375,0.0015214913618288861,2022-03-28 11:30:00,,8 days 01:00:00,231288.7294921875
2022-04-13 15:30:00,-33,1670,1689,14072.248046875,14238.076171875,-5472.328125,-0.01178405358174639,2022-04-11 10:30:00,,2 days 05:00:00,225816.4013671875
2022-04-19 10:30:00,-33,1696,1705,13933.6279296875,14080.4853515625,-4846.294921875,-0.01053978350908169,2022-04-14 15:30:00,,4 days 19:00:00,220970.1064453125
2022-04-21 10:30:00,-31,1718,1719,14175.6865234375,14168.595703125,219.8154296875,0.0005002100110478302,2022-04-21 09:30:00,,0 days 01:00:00,221189.921875
2022-04-22 15:30:00,-1,1718,1731,14175.6865234375,13352.1904296875,823.49609375,0.05809214900375126,2022-04-21 09:30:00,,1 days 06:00:00,222013.41796875
2022-04-28 13:30:00,-34,1741,1757,13147.31640625,13410.5634765625,-8950.400390625,-0.0200228747965141,2022-04-26 11:30:00,,2 days 02:00:00,213063.017578125
2022-05-04 15:30:00,-33,1765,1787,13020.7412109375,13465.4130859375,-14674.171875,-0.03415104161861948,2022-04-29 14:30:00,,5 days 01:00:00,198388.845703125
2022-05-13 10:30:00,-31,1791,1831,12905.607421875,12322.6904296875,18070.4267578125,0.045167730051935084,2022-05-05 12:30:00,,7 days 22:00:00,216459.2724609375
2022-06-03 10:30:00,34,1926,1929,12845.5322265625,12633.5234375,-7208.298828125,-0.016504476834684922,2022-06-02 14:30:00,,0 days 20:00:00,209250.9736328125
2022-06-03 10:30:00,4,1831,1929,12322.6904296875,12633.5234375,1243.33203125,0.0252244434432638,2022-05-13 10:30:00,,21 days 00:00:00,210494.3056640625
2022-06-09 11:30:00,34,1948,1958,12684.701171875,12555.337890625,-4398.3515625,-0.010198370422539349,2022-06-07 15:30:00,,1 days 20:00:00,206095.9541015625
2022-06-16 10:30:00,37,1982,1992,11324.0693359375,11204.3681640625,-4428.943359375,-0.010570508562246506,2022-06-14 14:30:00,,1 days 20:00:00,201667.0107421875
2022-06-17 11:30:00,-37,1996,2000,11063.478515625,11258.865234375,-7229.30859375,-0.01766051413884462,2022-06-16 14:30:00,,0 days 21:00:00,194437.7021484375
2022-06-27 09:30:00,34,2025,2033,11660.2041015625,12147.8984375,16581.607421875,0.0418255402469454,2022-06-23 15:30:00,,3 days 18:00:00,211019.3095703125
2022-07-19 13:30:00,36,2123,2142,11792.435546875,12235.572265625,15952.921875,0.03757804882532789,2022-07-14 15:30:00,,4 days 22:00:00,226972.2314453125
2022-07-29 09:30:00,38,2182,2194,12398.6083984375,12851.7802734375,17220.53125,0.036550220834227654,2022-07-27 11:30:00,,1 days 22:00:00,244192.7626953125
2022-07-29 09:30:00,37,2140,2194,12138.4189453125,12897.798828125,28097.0556640625,0.06256003242545449,2022-07-19 11:30:00,,9 days 22:00:00,272289.818359375
2022-08-09 09:30:00,42,2218,2243,13189.57421875,12990.455078125,-8363.00390625,-0.015096707241840868,2022-08-03 12:30:00,,5 days 21:00:00,263926.814453125
2022-08-19 10:30:00,40,2265,2300,13410.009765625,13277.0185546875,-5319.6484375,-0.00991730902973742,2022-08-12 10:30:00,,7 days 00:00:00,258607.166015625
2022-08-19 10:30:00,40,2252,2300,13333.9306640625,13277.0185546875,-2276.484375,-0.004268216987837636,2022-08-10 11:30:00,,8 days 23:00:00,256330.681640625
2022-09-01 09:30:00,-41,2337,2362,12768.00390625,12132.0712890625,26073.2373046875,0.04980673736136687,2022-08-26 12:30:00,,5 days 21:00:00,282403.9189453125
2022-09-07 11:30:00,-48,2377,2385,11989.150390625,12124.896484375,-6515.8125,-0.011322411457624915,2022-09-06 10:30:00,,1 days 01:00:00,275888.1064453125
